,state_name,dist_name,sub_dist_name,village_name,village_code
0,Andhra Pradesh,Adilabad,Adilabad,Adilabad (M),802896
1,Andhra Pradesh,Adilabad,Adilabad,Ankapoor,569005
2,Andhra Pradesh,Adilabad,Adilabad,Ankoli,569001
3,Andhra Pradesh,Adilabad,Adilabad,Anukunta,568993
4,Andhra Pradesh,Adilabad,Adilabad,Arli (Buzurg),568987
5,Andhra Pradesh,Adilabad,Adilabad,Asodabhurki,569006
6,Andhra Pradesh,Adilabad,Adilabad,Battisawargaon,568994
7,Andhra Pradesh,Adilabad,Adilabad,Belluri,569009
8,Andhra Pradesh,Adilabad,Adilabad,Bheemseri,568982
9,Andhra Pradesh,Adilabad,Adilabad,Borenur,568999
10,Andhra Pradesh,Adilabad,Adilabad,Chanda,568983
11,Andhra Pradesh,Adilabad,Adilabad,Chichadhari,569016
12,Andhra Pradesh,Adilabad,Adilabad,Chinchughat,569004
13,Andhra Pradesh,Adilabad,Adilabad,Dasnapur (CT),569017
14,Andhra Pradesh,Adilabad,Adilabad,Dimma,568978
15,Andhra Pradesh,Adilabad,Adilabad,Ganeshpur,568984
16,Andhra Pradesh,Adilabad,Adilabad,Hathigutta,569012
17,Andhra Pradesh,Adilabad,Adilabad,Jamdapur,568976
18,Andhra Pradesh,Adilabad,Adilabad,Jamuldhari,568991
19,Andhra Pradesh,Adilabad,Adilabad,Kachkanti,568996
20,Andhra Pradesh,Adilabad,Adilabad,Khanapoor,569015
21,Andhra Pradesh,Adilabad,Adilabad,Khandala,569010
22,Andhra Pradesh,Adilabad,Adilabad,Kottur (Nevegaon),568998
23,Andhra Pradesh,Adilabad,Adilabad,Kumbhajheri,568989
24,Andhra Pradesh,Adilabad,Adilabad,Landasangvi,568985
25,Andhra Pradesh,Adilabad,Adilabad,Lohara,569011
26,Andhra Pradesh,Adilabad,Adilabad,Lokari,569000
27,Andhra Pradesh,Adilabad,Adilabad,Maleborgaon,569003
28,Andhra Pradesh,Adilabad,Adilabad,Mallapur,568977
29,Andhra Pradesh,Adilabad,Adilabad,Maregaon,569014
30,Andhra Pradesh,Adilabad,Adilabad,Mavala,568995
31,Andhra Pradesh,Adilabad,Adilabad,Nishanghat,568986
32,Andhra Pradesh,Adilabad,Adilabad,Pippaldhari,569007
33,Andhra Pradesh,Adilabad,Adilabad,Pochara,568979
34,Andhra Pradesh,Adilabad,Adilabad,Ramai,568990
35,Andhra Pradesh,Adilabad,Adilabad,Rampoor (Royati),568981
36,Andhra Pradesh,Adilabad,Adilabad,Takli,568988
37,Andhra Pradesh,Adilabad,Adilabad,Tarada  (Srimath),568980
38,Andhra Pradesh,Adilabad,Adilabad,Tippa,569013
39,Andhra Pradesh,Adilabad,Adilabad,Tontoli,568997
40,Andhra Pradesh,Adilabad,Adilabad,Waghapur,569002
41,Andhra Pradesh,Adilabad,Adilabad,Wanwat,569008
42,Andhra Pradesh,Adilabad,Adilabad,Yapalguda,568992
43,Andhra Pradesh,Adilabad,Asifabad ,Ada,569480
44,Andhra Pradesh,Adilabad,Asifabad ,Ada - Dasnapur,569522
45,Andhra Pradesh,Adilabad,Asifabad ,Addaghat,569538
46,Andhra Pradesh,Adilabad,Asifabad ,Ankusapur,569502
47,Andhra Pradesh,Adilabad,Asifabad ,Appepalle,569505
48,Andhra Pradesh,Adilabad,Asifabad ,Asifabad (CT),569539
49,Andhra Pradesh,Adilabad,Asifabad ,Babapur,569501
50,Andhra Pradesh,Adilabad,Asifabad ,Balahanpur,569527
51,Andhra Pradesh,Adilabad,Asifabad ,Balegaon,569515
52,Andhra Pradesh,Adilabad,Asifabad ,Buruguda,569503
53,Andhra Pradesh,Adilabad,Asifabad ,Cherpalle,569488
54,Andhra Pradesh,Adilabad,Asifabad ,Chilatiguda,569509
55,Andhra Pradesh,Adilabad,Asifabad ,Chirrakunta,569532
56,Andhra Pradesh,Adilabad,Asifabad ,Dadpapur,569498
