,state_name,dist_name,sub_dist_name,village_name,village_code
0,Assam,Baksa,Baganpara (Pt),Amingaon,304568
1,Assam,Baksa,Baganpara (Pt),Angardhua,304588
2,Assam,Baksa,Baganpara (Pt),Baganpara,304574
3,Assam,Baksa,Baganpara (Pt),Barikadanga,304565
4,Assam,Baksa,Baganpara (Pt),Benchimari,304569
5,Assam,Baksa,Baganpara (Pt),Bher Bheri,304597
6,Assam,Baksa,Baganpara (Pt),Boglamari ,304572
7,Assam,Baksa,Baganpara (Pt),Boglamari NC,304570
8,Assam,Baksa,Baganpara (Pt),Bongaon,304580
9,Assam,Baksa,Baganpara (Pt),Dakhin Muthiabari,304563
10,Assam,Baksa,Baganpara (Pt),Dakhinkuchi,304559
11,Assam,Baksa,Baganpara (Pt),Dhamdhama (Dhemdhema),304089
12,Assam,Baksa,Baganpara (Pt),Dhekibhanga,304585
13,Assam,Baksa,Baganpara (Pt),Diapar,304573
14,Assam,Baksa,Baganpara (Pt),Diringapur,304562
15,Assam,Baksa,Baganpara (Pt),Gerua,304576
16,Assam,Baksa,Baganpara (Pt),Ghoramara,304591
17,Assam,Baksa,Baganpara (Pt),Goalbil,304593
18,Assam,Baksa,Baganpara (Pt),Gorbhitor,304596
19,Assam,Baksa,Baganpara (Pt),Holapar,304590
20,Assam,Baksa,Baganpara (Pt),Horhoria,304594
21,Assam,Baksa,Baganpara (Pt),Jartaluk,304592
22,Assam,Baksa,Baganpara (Pt),Jopadong,304558
23,Assam,Baksa,Baganpara (Pt),Kadamtola,304583
24,Assam,Baksa,Baganpara (Pt),Khagrabari,304584
25,Assam,Baksa,Baganpara (Pt),Khairani,304564
26,Assam,Baksa,Baganpara (Pt),Madaltana,304582
27,Assam,Baksa,Baganpara (Pt),Mohina,304088
28,Assam,Baksa,Baganpara (Pt),Monipur,304556
29,Assam,Baksa,Baganpara (Pt),Muktapur,304586
30,Assam,Baksa,Baganpara (Pt),Muthiabari,304561
31,Assam,Baksa,Baganpara (Pt),Nichilamari,304589
32,Assam,Baksa,Baganpara (Pt),Odala,304571
33,Assam,Baksa,Baganpara (Pt),Polokata ,304587
34,Assam,Baksa,Baganpara (Pt),Roumari,304579
35,Assam,Baksa,Baganpara (Pt),Sameridar,304581
36,Assam,Baksa,Baganpara (Pt),Santipur,304595
37,Assam,Baksa,Baganpara (Pt),Simlabari,304566
38,Assam,Baksa,Baganpara (Pt),Subankhata,304557
39,Assam,Baksa,Baganpara (Pt),Subankhata NC,304560
40,Assam,Baksa,Baganpara (Pt),Thalkuchi,304577
41,Assam,Baksa,Baganpara (Pt),Tupalia,304578
42,Assam,Baksa,Baganpara (Pt),Udaypur,304567
43,Assam,Baksa,Baganpara (Pt),Uttar Kuchi,304555
44,Assam,Baksa,Baganpara (Pt),Uttar Subankhata,304554
45,Assam,Baksa,Baganpara (Pt),Uttarpara,304575
46,Assam,Baksa,Bajali (Pt),Bagapara,283335
47,Assam,Baksa,Bajali (Pt),Balipara,283313
48,Assam,Baksa,Bajali (Pt),Bamunkuchi,283303
49,Assam,Baksa,Bajali (Pt),Bamunpara,283333
50,Assam,Baksa,Bajali (Pt),Ban Gaon,283292
51,Assam,Baksa,Bajali (Pt),Bangna Bari (Bangana Bari),283336
52,Assam,Baksa,Bajali (Pt),Bania Gaon,283329
53,Assam,Baksa,Bajali (Pt),Bar Bamakhata,283288
54,Assam,Baksa,Bajali (Pt),Bar Bhaluki,283315
55,Assam,Baksa,Bajali (Pt),Bar-Bairagi,283318
56,Assam,Baksa,Bajali (Pt),Barbang,283289
57,Assam,Baksa,Bajali (Pt),Barbatabari,283321
58,Assam,Baksa,Bajali (Pt),Barbhala,283324
59,Assam,Baksa,Bajali (Pt),Bargandubi,283291
60,Assam,Baksa,Bajali (Pt),Bargunari,283299
61,Assam,Baksa,Bajali (Pt),Barsahan,283316
62,Assam,Baksa,Bajali (Pt),Bebejiapara,304183
