,state_name,dist_name,sub_dist_name,village_name,village_code
0,Bihar,Araria,Araria,Araria,221845
1,Bihar,Araria,Araria,Araria (Nagar Parishad),801307
2,Bihar,Araria,Araria,Azamnagar,221854
3,Bihar,Araria,Araria,Azmatpur,221846
4,Bihar,Araria,Araria,Bahgi,221801
5,Bihar,Araria,Araria,Bairgachhi,221858
6,Bihar,Araria,Araria,Bangawan,221867
7,Bihar,Araria,Araria,Bansbari,221827
8,Bihar,Araria,Araria,Barakamatchistipur,221838
9,Bihar,Araria,Araria,Basantpur,221837
10,Bihar,Araria,Araria,Baturbari,221822
11,Bihar,Araria,Araria,Belbari,221847
12,Bihar,Araria,Araria,Belwa,221857
13,Bihar,Araria,Araria,Bhagmohabbat,221831
14,Bihar,Araria,Araria,Bhagpuraini,221818
15,Bihar,Araria,Araria,Bhagsadullah Gachh Kola,221840
16,Bihar,Araria,Araria,Bishunpur,221851
17,Bihar,Araria,Araria,Bochi,221803
18,Bihar,Araria,Araria,Bochi,221864
19,Bihar,Araria,Araria,Chanderdai,221865
20,Bihar,Araria,Araria,Chanrarni,221823
21,Bihar,Araria,Araria,Chatar,221877
22,Bihar,Araria,Araria,Chikni,221868
23,Bihar,Araria,Araria,Dabhara Jagir,221814
24,Bihar,Araria,Araria,Dabhra,221815
25,Bihar,Araria,Araria,Deoria,221871
26,Bihar,Araria,Araria,Dhakia,221869
27,Bihar,Araria,Araria,Diari,221855
28,Bihar,Araria,Araria,Domai,221875
29,Bihar,Araria,Araria,Farasat,221844
30,Bihar,Araria,Araria,Gaigari,221861
31,Bihar,Araria,Araria,Gainrha,221872
32,Bihar,Araria,Araria,Gamharia,221804
33,Bihar,Araria,Araria,Gelhabari,221810
34,Bihar,Araria,Araria,Gharakhal,221880
35,Bihar,Araria,Araria,Haria,221830
36,Bihar,Araria,Araria,Hasanpur,221835
37,Bihar,Araria,Araria,Hyatpur,221834
38,Bihar,Araria,Araria,Itahara,221836
39,Bihar,Araria,Araria,Jamua,221812
40,Bihar,Araria,Araria,Jhamta,221825
41,Bihar,Araria,Araria,Jitwarpur,221817
42,Bihar,Araria,Araria,Kamaldaha,221866
43,Bihar,Araria,Araria,Kasaila Gachh Garha Bhagkasail,221805
44,Bihar,Araria,Araria,Khamgara,221811
45,Bihar,Araria,Araria,Kharhar,221843
46,Bihar,Araria,Araria,Kismat Jamua,221809
47,Bihar,Araria,Araria,Kismat Khawaspur,221820
48,Bihar,Araria,Araria,Kochgawan,221849
49,Bihar,Araria,Araria,Kusiargaon,221853
50,Bihar,Araria,Araria,Lahna,221863
51,Bihar,Araria,Araria,Lahtora,221850
52,Bihar,Araria,Araria,Lodipur,221852
53,Bihar,Araria,Araria,Lohtora,221879
54,Bihar,Araria,Araria,Madanpur,221802
55,Bihar,Araria,Araria,Mahisakol,221826
56,Bihar,Araria,Araria,Majgawan,221856
57,Bihar,Araria,Araria,Majkuri,221832
58,Bihar,Araria,Araria,Metan,221824
59,Bihar,Araria,Araria,Milik,221848
60,Bihar,Araria,Araria,Mirzapur,221873
61,Bihar,Araria,Araria,Murbala,221829
62,Bihar,Araria,Araria,Paik Tola,221870
63,Bihar,Araria,Araria,Pategna,221819
64,Bihar,Araria,Araria,Phulbari,221808
65,Bihar,Araria,Araria,Pokharia,221800
66,Bihar,Araria,Araria,Rajokhar,221833
67,Bihar,Araria,Araria,Rampur Kudarkatti,221862
68,Bihar,Araria,Araria,Rampur Mohanpur,221839
69,Bihar,Araria,Araria,Rangdaha,221842
70,Bihar,Araria,Araria,Saguna,221821
71,Bihar,Araria,Araria,Sahasmal,221806
72,Bihar,Araria,Araria,Salaigarh,221841
73,Bihar,Araria,Araria,Samda,221828
74,Bihar,Araria,Araria,Sandalpur,221876
75,Bihar,Araria,Araria,Saranpur,221813
76,Bihar,Araria,Araria,Sisauna,221860
77,Bihar,Araria,Araria,Surjapur,221859
78,Bihar,Araria,Araria,Tarabari,221816
79,Bihar,Araria,Araria,Tarauna,221807
80,Bihar,Araria,Araria,Tirhutbita,221878
81,Bihar,Araria,Araria,Tirhutbita,221874
82,Bihar,Araria,Bhargama,Akarthappa,221679
83,Bihar,Araria,Bhargama,Baija Patti,221677
84,Bihar,Araria,Bhargama,Baija Patti,221678
85,Bihar,Araria,Bhargama,Baiju Patti Milik,221693
86,Bihar,Araria,Bhargama,Barhmotar Chakla,221666
87,Bihar,Araria,Bhargama,Barmotara,221707
88,Bihar,Araria,Bhargama,Barmotara Hingua,221708
89,Bihar,Araria,Bhargama,Bhargaon,221648
90,Bihar,Araria,Bhargama,Bhargaon,221685
91,Bihar,Araria,Bhargama,Bhatgaon Chakla,221696
92,Bihar,Araria,Bhargama,Bhattaon Kamat,221674
93,Bihar,Araria,Bhargama,Birnagar,221671
94,Bihar,Araria,Bhargama,Birnagar Milik,221672
95,Bihar,Araria,Bhargama,Birnagar Milik,221695
96,Bihar,Araria,Bhargama,Bisaria,221682
97,Bihar,Araria,Bhargama,Bisaria Patti,221683
98,Bihar,Araria,Bhargama,Bishunpr  Bhaiaram,221661
99,Bihar,Araria,Bhargama,Chandni Ghasi,221694
100,Bihar,Araria,Bhargama,Chandni Ghasi,221692
101,Bihar,Araria,Bhargama,Chandni Ghasi,221691
102,Bihar,Araria,Bhargama,Chaura,221647
103,Bihar,Araria,Bhargama,Chiraiya,221675
104,Bihar,Araria,Bhargama,Dhanesri,221687
105,Bihar,Araria,Bhargama,Dhanesri,221688
106,Bihar,Araria,Bhargama,Dhanesri Milik,221689
107,Bihar,Araria,Bhargama,Dundbahadur Chakla,221660
108,Bihar,Araria,Bhargama,Gamharia,221662
109,Bihar,Araria,Bhargama,Gamharia Milik,221663
110,Bihar,Araria,Bhargama,Gopipur,221706
111,Bihar,Araria,Bhargama,Harpur Chakla Kalan,221705
112,Bihar,Araria,Bhargama,Harpur Kalan,221703
113,Bihar,Araria,Bhargama,Hatibala,221686
114,Bihar,Araria,Bhargama,Hingua Chakla,221704
115,Bihar,Araria,Bhargama,Hingua Jot,221700
116,Bihar,Araria,Bhargama,Hingua Milik,221701
117,Bihar,Araria,Bhargama,Hingua Milik,221709
118,Bihar,Araria,Bhargama,Hingua Milik,221702
119,Bihar,Araria,Bhargama,Hingua Patti,221699
120,Bihar,Araria,Bhargama,Jainagar,221654
121,Bihar,Araria,Bhargama,Jasodapur,221698
122,Bihar,Araria,Bhargama,Jhumuk Lal Chakla,221659
123,Bihar,Araria,Bhargama,Khajuri,221665
124,Bihar,Araria,Bhargama,Khajuri Milik,221667
125,Bihar,Araria,Bhargama,Khutha Baijnath,221670
126,Bihar,Araria,Bhargama,Kusmaul,221652
127,Bihar,Araria,Bhargama,Lachhmipur,221697
128,Bihar,Araria,Bhargama,Lachmipur alias Baghwa,221668
129,Bihar,Araria,Bhargama,Majrahi Chakla,221684
130,Bihar,Araria,Bhargama,Manullahpatti,221644
131,Bihar,Araria,Bhargama,Narhewa Diara,221656
132,Bihar,Araria,Bhargama,Nawalgang Manpur,221710
133,Bihar,Araria,Bhargama,Nawalganj Pitamber,221676
134,Bihar,Araria,Bhargama,Newa  Lal Chakla,221681
135,Bihar,Araria,Bhargama,Paik Para,221664
136,Bihar,Araria,Bhargama,Peare Lal Chakla,221680
137,Bihar,Araria,Bhargama,Pranpath Patti,221653
138,Bihar,Araria,Bhargama,Raghunath Pur,221657
139,Bihar,Araria,Bhargama,Rampuradi,221645
140,Bihar,Araria,Bhargama,Shaikhpura,221649
141,Bihar,Araria,Bhargama,Shankarpur,221651
142,Bihar,Araria,Bhargama,Simarbani,221650
143,Bihar,Araria,Bhargama,Sirsia Hanumanganj,221655
144,Bihar,Araria,Bhargama,Sirsia Kalan,221658
145,Bihar,Araria,Bhargama,Sukela,221646
146,Bihar,Araria,Bhargama,Tengraha,221673
147,Bihar,Araria,Bhargama,Tharua Patti,221669
148,Bihar,Araria,Bhargama,Tonha  Israin,221690
149,Bihar,Araria,Forbesganj,Ahmadpur,221560
150,Bihar,Araria,Forbesganj,Amauna,221637
151,Bihar,Araria,Forbesganj,Amgachhi,221589
152,Bihar,Araria,Forbesganj,Amhara,221583
153,Bihar,Araria,Forbesganj,Arraha,221536
154,Bihar,Araria,Forbesganj,Arraha Madarganj,221557
155,Bihar,Araria,Forbesganj,Asuri,221593
156,Bihar,Araria,Forbesganj,Aurahi,221558
157,Bihar,Araria,Forbesganj,Baghmara,221582
158,Bihar,Araria,Forbesganj,Baghua,221631
