,state_name,dist_name,sub_dist_name,village_name,village_code
0,Chhattisgarh,Bastar,Bade Rajpur,Aamaguhan,448648
1,Chhattisgarh,Bastar,Bade Rajpur,Amgaon,448624
2,Chhattisgarh,Bastar,Bade Rajpur,Badagaon,448613
3,Chhattisgarh,Bastar,Bade Rajpur,Badbattar,448639
4,Chhattisgarh,Bastar,Bade Rajpur,Baderajpur,448604
5,Chhattisgarh,Bastar,Bade Rajpur,Baijanpuri,448650
6,Chhattisgarh,Bastar,Bade Rajpur,Balenga,448632
7,Chhattisgarh,Bastar,Bade Rajpur,Banskot,448633
8,Chhattisgarh,Bastar,Bade Rajpur,Bastar Budra,448651
9,Chhattisgarh,Bastar,Bade Rajpur,Chhindli,448642
10,Chhattisgarh,Bastar,Bade Rajpur,Chhotemalgaon,448618
11,Chhattisgarh,Bastar,Bade Rajpur,Chhoterajpur,448606
12,Chhattisgarh,Bastar,Bade Rajpur,Chichadi,448626
13,Chhattisgarh,Bastar,Bade Rajpur,Dhamanpuri,448630
14,Chhattisgarh,Bastar,Bade Rajpur,Dhondra,448645
15,Chhattisgarh,Bastar,Bade Rajpur,Gamhari,448636
16,Chhattisgarh,Bastar,Bade Rajpur,Govindpur,448652
17,Chhattisgarh,Bastar,Bade Rajpur,Halda,448634
18,Chhattisgarh,Bastar,Bade Rajpur,Hatma,448611
19,Chhattisgarh,Bastar,Bade Rajpur,Honawandi,448615
20,Chhattisgarh,Bastar,Bade Rajpur,Jodekera,448638
21,Chhattisgarh,Bastar,Bade Rajpur,Kalgaon,448598
22,Chhattisgarh,Bastar,Bade Rajpur,Kalgaon(Kalepal),448646
23,Chhattisgarh,Bastar,Bade Rajpur,Karmari,448637
24,Chhattisgarh,Bastar,Bade Rajpur,Khajrawand,448622
25,Chhattisgarh,Bastar,Bade Rajpur,Khalari,448608
26,Chhattisgarh,Bastar,Bade Rajpur,Kibada,448629
27,Chhattisgarh,Bastar,Bade Rajpur,Kongera,448601
28,Chhattisgarh,Bastar,Bade Rajpur,Kopra,448643
29,Chhattisgarh,Bastar,Bade Rajpur,Korahobeda,448600
30,Chhattisgarh,Bastar,Bade Rajpur,Korgaon,448599
31,Chhattisgarh,Bastar,Bade Rajpur,Kosmi,448607
32,Chhattisgarh,Bastar,Bade Rajpur,Koundkera,448620
33,Chhattisgarh,Bastar,Bade Rajpur,Kuldadihi,448640
34,Chhattisgarh,Bastar,Bade Rajpur,Kurrubhat,448614
35,Chhattisgarh,Bastar,Bade Rajpur,Lihagaon,448625
36,Chhattisgarh,Bastar,Bade Rajpur,Machali,448616
37,Chhattisgarh,Bastar,Bade Rajpur,Mainpur,448621
38,Chhattisgarh,Bastar,Bade Rajpur,Mandokikhargaon,448644
39,Chhattisgarh,Bastar,Bade Rajpur,Manikpur,448649
40,Chhattisgarh,Bastar,Bade Rajpur,Marangpuri,448628
41,Chhattisgarh,Bastar,Bade Rajpur,Naukabeda,448647
42,Chhattisgarh,Bastar,Bade Rajpur,Padoki,448605
43,Chhattisgarh,Bastar,Bade Rajpur,Palana,448627
44,Chhattisgarh,Bastar,Bade Rajpur,Parond,448623
45,Chhattisgarh,Bastar,Bade Rajpur,Pendrawand,448612
46,Chhattisgarh,Bastar,Bade Rajpur,Pidhapal,448641
47,Chhattisgarh,Bastar,Bade Rajpur,Pitechuwa,448610
48,Chhattisgarh,Bastar,Bade Rajpur,Salna,448619
49,Chhattisgarh,Bastar,Bade Rajpur,Sargipal,448609
50,Chhattisgarh,Bastar,Bade Rajpur,Sonpur,448602
51,Chhattisgarh,Bastar,Bade Rajpur,Taraibeda (Harwel),448631
52,Chhattisgarh,Bastar,Bade Rajpur,Tenwasa,448603
